"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"AEX99752.1"	"JQ029959"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ32277.1"	"JQ341060.1"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFK93491.1"	"JQ926986"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFN88952.1"	"JX013655"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23953.1"	"JX121114"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23954.1"	"JX121115"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23955.1"	"JX121116"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAB37325.2"	"AJ011428"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23956.1"	"JX121117"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23957.1"	"JX121118"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23958.1"	"JX121119"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23959.1"	"JX121120"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23960.1"	"JX121121"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23961.1"	"JX121122"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23962.1"	"JX121123"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23963.1"	"JX121124"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23964.1"	"JX121125"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23965.1"	"JX121126"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAC98092.2"	"AF072684"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23966.1"	"JX121127"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23967.1"	"JX121128"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23968.1"	"JX121129"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23969.1"	"JX121130"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CCK86744.1"	"HE981194"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFQ23970.1"	"JX121131"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAM28879.1"	"AB733453"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFW16978.1"	"JX870080"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHA80958.1"	"KF513177"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHA80959.1"	"KF513178"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHA80963.1"	"KF705209"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AHA80962.1"	"KF705208"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF64386.1"	"AF132290"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AJO16040.1"	"KP050487.1"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AJO16042.1"	"KP050489"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CDN33427.1"	"HG934764"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AIS67768.1"	"KM233164"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AIS67769.1"	"KM233165"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CEA29750.1"	"LN515533"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CEA29751.1"	"LN515534"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AJO16047.1"	"KP050494"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF34333.1"	"AF117743"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAD37413.1"	"AF148851"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF34334.1"	"AF117744"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF34335.1"	"AF117745"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF34336.1"	"AF117746"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF34337.1"	"AF117747"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAA84973.1"	"AB023477"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF37209.2"	"AF208796"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAF36719.1"	"AF227204"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG01039.1"	"AF293345"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG15384.1"	"AF299299"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAG49894.1"	"AF301532"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA66730.1"	"X98102"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ANA06389.1"	"KX092356.1"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT75225.1"	"AY661885"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP33454.2"	"AY277255"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAK69828.1"	"AY037778"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AFN82060.1"	"JX268631"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAK64187.1"	"AY036620"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL68926.1"	"AY070258"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL82592.1"	"AF467947"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL82593.1"	"AF467948"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL79576.1"	"AY079099"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN77730.1"	"AY150585"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"SPD96731.1"	"LT985229.1"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN04882.1"	"AF535128"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN04883.1"	"AF535129"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN04884.1"	"AF535130"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAL40899.1"	"AY065991"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP82228.1"	"AY259119"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAN39364.1"	"AF547625"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAO53445.1"	"AY210887"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP03063.1"	"AY263404"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAS98184.1"	"AY528718"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA39164.1"	"X55640"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP41108.1"	"AY288915"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAP41944.1"	"AY289548"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AEJ08681.1"	"HQ845196"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT01223.1"	"AY590467"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAI10727.2"	"AJ863560"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACB73258.1"	"EU586041"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAO66446.1"	"AY223863"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAV66328.1"	"AY790341"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA71948.1"	"Y11069"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"BAF92780.1"	"AB302939"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAI30650.2"	"AJ866284"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAI30651.2"	"AJ866285"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABY56290.1"	"EU342351"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA06586.1"	"DQ174304"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA06587.1"	"DQ174305"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA06588.1"	"DQ174306"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA06589.1"	"DQ174307"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA06590.1"	"DQ174308"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAA87176.1"	"U20270"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAY42633.1"	"DQ013287"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47126.2"	"AM176546"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47127.2"	"AM176547"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47128.2"	"AM176548"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47129.2"	"AM176549"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47130.2"	"AM176550"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47131.2"	"AM176551"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47132.2"	"AM176552"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47133.2"	"AM176553"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47134.2"	"AM176554"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB51384.1"	"U92041"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47135.2"	"AM176555"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47136.2"	"AM176556"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47137.2"	"AM176557"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ47138.2"	"AM176558"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAJ32371.1"	"AM087453"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABC54571.1"	"DQ322460"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABC58727.1"	"DQ328802"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABA60809.1"	"DQ193536"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAB37395.2"	"S82452"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABH04327.1"	"DQ836922"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABN49110.1"	"EF373969"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABN49111.1"	"EF373970"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABN49113.1"	"EF373972"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABN49112.1"	"EF373971"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ABN49114.1"	"EF373973"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAQ03503.1"	"AM941844"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAQ03504.1"	"AM941845"	"SHV beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"ACT66697.1"	"GQ288397"	"SIM beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAT90846.1"	"AY590118"	"SHW beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"BAL14456.1"	"AB636283"	"SMB beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"CAA82281.1"	"Z28968"	"SME beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AAG29813.1"	"AF275256"	"SME beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AAS92558.1"	"AY584237"	"SME beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AHA49908.1"	"KF481967"	"SME beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AHV85514.1"	"KJ188748"	"SME beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AAD51344.1"	"AF173226"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;cephamycin;penam"	"antibiotic efflux"
"AAD51345.1"	"AF173226"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;cephamycin;penam"	"antibiotic efflux"
"AAD51346.1"	"AF173226"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;cephamycin;penam"	"antibiotic efflux"
"CAC14594.1"	"AJ252200"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAC14595.1"	"AJ252200"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAC14596.1"	"AJ252200"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAD51348.1"	"AF173226.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;cephamycin;penam"	"antibiotic efflux"
"AAD51347.1"	"AF173226"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;cephamycin;penam"	"antibiotic efflux"
"AGW81558.1"	"KC895984"	"ANT(9)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AJP77080"	"KP109680"	"SPG beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"CAD37801.1"	"AJ492820.1"	"SPM beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"CAA45050.1"	"X63451"	"ABC-F ATP-binding cassette ribosomal protection protein"	"lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic"	"antibiotic target protection"
"BAA23130.1"	"AB008454"	"SRT beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AAS07017.3"	"AY524276"	"SRT beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AAA88560.1"	"M16183.1"	"streptothricin acetyltransferase (SAT)"	"nucleoside antibiotic"	"antibiotic inactivation"
"N/A"	"NZ_CP009828.1"	"23S rRNA with mutation conferring resistance to linezolid antibiotics"	"oxazolidinone antibiotic;pleuromutilin antibiotic;streptogramin antibiotic"	"antibiotic target alteration"
"CAG41107"	"BX571856"	"daptomycin resistant agrA"	"peptide antibiotic"	"antibiotic target alteration"
"ABD31357.1"	"CP000253.1"	"daptomycin resistant cls"	"peptide antibiotic"	"antibiotic target alteration"
"EHS19134.1"	"AHLO01000073.1"	"fosfomycin thiol transferase"	"fosfomycin"	"antibiotic inactivation"
"CAG39573"	"BX571856"	"antibiotic resistant fusA"	"fusidic acid"	"antibiotic target alteration"
"ADL24064.1"	"CP002114.2"	"antibiotic resistant fusE"	"fusidic acid"	"antibiotic target alteration"
"CAG39357"	"BX571856.1"	"antibiotic-resistant GlpT"	"fosfomycin"	"antibiotic target alteration"
"WP_000819088.1"	"NC_009641.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CAG39033.1"	"BX571856.1"	"aminocoumarin resistant gyrB"	"N/A"	"antibiotic target alteration"
"CAA52296.1"	"X74219"	"antibiotic-resistant isoleucyl-tRNA synthetase (ileS)"	"N/A"	"antibiotic target alteration"
"AAW38464.1"	"CP000046.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"aminoglycoside antibiotic;diaminopyrimidine antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic"	"antibiotic efflux"
"ABD30105.1"	"CP000253.1"	"lysocin resistant menA"	"peptide antibiotic"	"antibiotic target alteration"
"ADJ67256.1"	"HM140977"	"defensin resistant mprF"	"peptide antibiotic"	"antibiotic target alteration"
"ADJ67256"	"HM140977"	"daptomycin resistant mprF"	"peptide antibiotic"	"antibiotic target alteration"
"CAA53189"	"X75439"	"antibiotic-resistant isoleucyl-tRNA synthetase (ileS)"	"N/A"	"antibiotic target alteration"
"AEY83581"	"JQ231224"	"antibiotic-resistant isoleucyl-tRNA synthetase (ileS)"	"mupirocin"	"antibiotic target alteration"
"CAG41169.1"	"BX571856.1"	"antibiotic-resistant murA transferase"	"fosfomycin"	"antibiotic target alteration"
"BAA14147.1"	"D90119.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"WP_001289569.1"	"NC_002951.2"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"BAA11086.1"	"D67075.1"	"aminocoumarin resistant parE"	"N/A"	"antibiotic target alteration"
"CAG40364.1"	"BX571856.1"	"fluoroquinolone resistant parE"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"BAB95031.1"	"BA000033.2"	"daptomycin resistant pgsA"	"peptide antibiotic"	"antibiotic target alteration"
"CAG39568.1"	"BX571856.1"	"daptomycin resistant beta-subunit of RNA polymerase (rpoB)"	"rifamycin antibiotic"	"antibiotic target alteration"
"CAG39568.1"	"BX571856.1"	"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)"	"rifamycin antibiotic"	"antibiotic target alteration;antibiotic target replacement"
"CAG39569.1"	"BX571856.1"	"daptomycin-resistant beta prime subunit of RNA polymerase (rpoC)"	"peptide antibiotic"	"antibiotic target alteration"
"CAG39240"	"BX571856.1"	"antibiotic-resistant UhpT"	"fosfomycin"	"antibiotic target alteration"
"CAG39047"	"BX571856"	"daptomycin resistant walK"	"peptide antibiotic"	"antibiotic target alteration"
"AAA26615.1"	"M64281.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AAN00989.1"	"AE009948.1"	"defensin resistant mprF"	"peptide antibiotic"	"antibiotic target alteration"
"AQA08261.1"	"CP019562.1"	"daptomycin resistant CdsA"	"peptide antibiotic"	"antibiotic target alteration"
"N/A"	"NZ_CP018138.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics;23S rRNA with mutation conferring resistance to streptogramins antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"NZ_CP018138.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"NP_358351.1"	"NC_003098.1"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AFC91828.1"	"JN645776"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"AAL00321.1"	"AE007317.1"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"AFC91898.1"	"JN645706"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"AAL97684.1"	"AE009949"	"sulfonamide resistant dihydropteroate synthase folP"	"N/A"	"antibiotic target alteration"
"BAC11901.1"	"AB080798.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"N/A"	"NZ_CP012949.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"CAA67349.1"	"X98831.1"	"elfamycin resistant EF-Tu"	"N/A"	"antibiotic target alteration"
"CAA42594.1"	"X59968"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"phenicol antibiotic"	"antibiotic efflux"
"AAO47226.2"	"AF235050.4"	"aminocoumarin resistant parY"	"aminocoumarin antibiotic"	"antibiotic target alteration"
"AEJ33969.1"	"JF969163"	"sulfonamide resistant sul"	"N/A"	"antibiotic target replacement"
"AAL59753.1"	"AY055428.1"	"sulfonamide resistant sul"	"sulfonamide antibiotic"	"antibiotic target replacement"
"ACJ63260.1"	"FJ196385"	"sulfonamide resistant sul"	"sulfonamide antibiotic"	"antibiotic target replacement"
"WP_102607457.1"	"NG_056174.1"	"sulfonamide resistant sul"	"sulfonamide antibiotic"	"antibiotic target replacement"
"APB03219.1"	"KX531049.1"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"pleuromutilin antibiotic"	"antibiotic efflux"
"CAA03986.1"	"AJ000283"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAA67509.1"	"M80674"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"N/A"	"antibiotic efflux"
"BAA07390.1"	"D38215"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"CAD09800.1"	"AL513383"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAC72362.1"	"AF093512"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM18924.1"	"AF495873"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAK82652.1"	"AY040093"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM61952.1"	"AF516719"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM61953.1"	"AF516720"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM52207.1"	"AY101578"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM52215.1"	"AY101764"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAM28884.1"	"AF506748"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAT46413.1"	"AY628175"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAW66604.1"	"AY874537"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL68923.1"	"AY072920"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAL77062.1"	"AF468003"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAS89982.1"	"AY589493"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAS89983.1"	"AY589494"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAS89984.1"	"AY589495"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAN04881.1"	"AF535127"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAB39956.1"	"U36911.1"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAN05026.1"	"AY130282"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAN05029.1"	"AY130285"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAA25053.1"	"M88143"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAO85882.1"	"AY243512"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAQ01671.1"	"AY271267"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAQ98890.1"	"AY307100"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAQ93490.1"	"AY327539"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAQ93491.1"	"AY327540"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
"AAT46414.1"	"AY628176"	"TEM beta-lactamase"	"cephalosporin;monobactam;penam;penem"	"antibiotic inactivation"
